species,genus,species_1,family,order,C,S,R,CSR
Valerianella coronata,Valerianella,coronata,Caprifoliaceae,Dipsacales,24.97,0,75.03,R/CR
Valerianella dentata,Valerianella,dentata,Caprifoliaceae,Dipsacales,9.49,32.45,58.06,R/CSR
Valerianella locusta,Valerianella,locusta,Caprifoliaceae,Dipsacales,12.9,0,87.1,R
Valerianella rimosa,Valerianella,rimosa,Caprifoliaceae,Dipsacales,35.11,0,64.89,R/CR
Verbascum densiflorum,Verbascum,densiflorum,Scrophulariaceae,Lamiales,75.08,8.67,16.25,C/CR
Verbascum lychnitis,Verbascum,lychnitis,Scrophulariaceae,Lamiales,67.68,8.74,23.58,C/CR
Verbascum phlomoides,Verbascum,phlomoides,Scrophulariaceae,Lamiales,54.61,21.76,23.63,C/CSR
Verbascum sinuatum,Verbascum,sinuatum,Scrophulariaceae,Lamiales,80.59,17.21,2.2,C/CS
Verbascum thapsus,Verbascum,thapsus,Scrophulariaceae,Lamiales,63.8,17.19,19.02,C/CSR
Verbena bracteata,Verbena,bracteata,Verbenaceae,Lamiales,14.54,44.84,40.62,SR/CSR
Verbena officinalis,Verbena,officinalis,Verbenaceae,Lamiales,23.93,49.9,26.16,S/CSR
Verbena stricta,Verbena,stricta,Verbenaceae,Lamiales,29.11,53.44,17.44,S/CSR
Verbena urticifolia,Verbena,urticifolia,Verbenaceae,Lamiales,33.2,50.12,16.68,CS/CSR
Veronica anagallis-aquatica,Veronica,anagallis-aquatica,Plantaginaceae,Lamiales,22.74,0,77.26,R/CR
Veronica anagalloides,Veronica,anagalloides,Plantaginaceae,Lamiales,15.05,47.48,37.47,SR/CSR
Veronica arvensis,Veronica,arvensis,Plantaginaceae,Lamiales,3.32,11.98,84.7,R
Veronica austriaca,Veronica,austriaca,Plantaginaceae,Lamiales,17.4,26.13,56.48,R/CSR
Veronica catenata,Veronica,catenata,Plantaginaceae,Lamiales,15.39,0,84.61,R
Veronica chamaedrys,Veronica,chamaedrys,Plantaginaceae,Lamiales,11.63,37.85,50.52,SR/CSR
Veronica gentianoides,Veronica,gentianoides,Plantaginaceae,Lamiales,46.05,23.91,30.04,C/CSR
Veronica hederifolia,Veronica,hederifolia,Plantaginaceae,Lamiales,18.39,0,81.61,R/CR
Veronica longifolia,Veronica,longifolia,Plantaginaceae,Lamiales,36.32,28.88,34.8,CSR
Veronica officinalis,Veronica,officinalis,Plantaginaceae,Lamiales,3.48,69.48,27.04,S/SR
Veronica peregrina,Veronica,peregrina,Plantaginaceae,Lamiales,3.29,0,96.71,R
Veronica persica,Veronica,persica,Plantaginaceae,Lamiales,4.44,12.84,82.72,R
Veronica polita,Veronica,polita,Plantaginaceae,Lamiales,1.38,0,98.62,R
Veronica prostrata,Veronica,prostrata,Plantaginaceae,Lamiales,5.64,27.04,67.32,R/SR
Veronica scutellata,Veronica,scutellata,Plantaginaceae,Lamiales,4.93,26.91,68.17,R/SR
Veronica spicata,Veronica,spicata,Plantaginaceae,Lamiales,15.71,72.15,12.15,S/CS
Veronica triphyllos,Veronica,triphyllos,Plantaginaceae,Lamiales,2.14,0,97.86,R
Veronicastrum virginicum,Veronicastrum,virginicum,Plantaginaceae,Lamiales,27.91,65.4,6.69,S/CS
Vicia cracca,Vicia,cracca,Fabaceae,Fabales,22.02,36.97,41.01,SR/CSR
Vicia tenuifolia,Vicia,tenuifolia,Fabaceae,Fabales,37.76,18.95,43.29,CR/CSR
Vicia villosa,Vicia,villosa,Fabaceae,Fabales,12.83,39.73,47.44,SR/CSR
Vinca minor,Vinca,minor,Apocynaceae,Gentianales,16.08,35.35,48.57,SR/CSR
Vincetoxicum hirundinaria,Vincetoxicum,hirundinaria,Apocynaceae,Gentianales,40.55,15.76,43.69,CR/CSR
Viola arvensis,Viola,arvensis,Violaceae,Malpighiales,6.69,26.88,66.43,R/SR
Viola canina,Viola,canina,Violaceae,Malpighiales,17.92,17.61,64.46,R/CSR
Viola odorata,Viola,odorata,Violaceae,Malpighiales,43.11,27.74,29.15,CSR
Viola riviniana,Viola,riviniana,Violaceae,Malpighiales,27.09,22.88,50.03,R/CSR
Viola sororia,Viola,sororia,Violaceae,Malpighiales,44.74,0,55.26,CR
Viola tricolor,Viola,tricolor,Violaceae,Malpighiales,4.83,0.7,94.48,R
Xanthium orientale,Xanthium,orientale,Asteraceae,Asterales,68.43,10.92,20.65,C/CR
Xanthium strumarium,Xanthium,strumarium,Asteraceae,Asterales,54.06,19.11,26.83,C/CSR
Xeranthemum cylindraceum,Xeranthemum,cylindraceum,Asteraceae,Asterales,18.34,12.42,69.25,R/CR
Zinnia peruviana,Zinnia,peruviana,Asteraceae,Asterales,18.49,68.11,13.4,S/CS
Sparganium natans,Sparganium,natans,Typhaceae,Poales,46.76,20.56,32.68,CR/CSR
Schoenoplectus lacustris,Schoenoplectus,lacustris,Cyperaceae,Poales,83.38,0,16.62,C/CR
Carex viridula,Carex,viridula,Cyperaceae,Poales,16.36,44.4,39.25,SR/CSR
Helictotrichon pubescens,Helictotrichon,pubescens,Poaceae,Poales,16.89,55.62,27.49,S/CSR
Achnatherum calamagrostis,Achnatherum,calamagrostis,Poaceae,Poales,43.37,40.86,15.77,CS/CSR
Agrostis alpina,Agrostis,alpina,Poaceae,Poales,1.1,95.21,3.69,S
Agrostis mertensii,Agrostis,mertensii,Poaceae,Poales,2.84,60.91,36.26,SR
Agrostis rupestris,Agrostis,rupestris,Poaceae,Poales,1.87,83.47,14.65,S
Agrostis schraderiana,Agrostis,schraderiana,Poaceae,Poales,8.71,60.66,30.63,S/SR
Agrostis tenuis,Agrostis,tenuis,Poaceae,Poales,11.55,49.33,39.12,SR/CSR
Agrostis vinealis,Agrostis,vinealis,Poaceae,Poales,9.44,63.75,26.81,S/SR
Ammophila littoralis,Ammophila,littoralis,Poaceae,Poales,31.12,68.88,0,S/CS
Andropogon gerardii,Andropogon,gerardii,Poaceae,Poales,24.33,52.02,23.66,S/CSR
Anthoxanthum alpinum,Anthoxanthum,alpinum,Poaceae,Poales,8.67,60,31.33,S/SR
Aulonemia effusa,Aulonemia,effusa,Poaceae,Poales,37.32,62.68,0,S/CS
Blepharoneuron tricholepis,Blepharoneuron,tricholepis,Poaceae,Poales,2.3,97.7,0,S
Blysmus compressus,Blysmus,compressus,Cyperaceae,Poales,14.79,62.93,22.29,S/CSR
Blysmus rufus,Blysmus,rufus,Cyperaceae,Poales,2.9,95.3,1.81,S
Bothriochloa insculpta,Bothriochloa,insculpta,Poaceae,Poales,10.9,47.74,41.36,SR/CSR
Chondrosum gracile,Chondrosum,gracile,Poaceae,Poales,4.74,73.1,22.16,S/SR
Chondrosum hirsutum,Chondrosum,hirsutum,Poaceae,Poales,12.73,70.54,16.73,S/SR
Bouteloua simplex,Bouteloua,simplex,Poaceae,Poales,0,100,0,S
Brachypodium rupestre,Brachypodium,rupestre,Poaceae,Poales,23.65,40.83,35.52,SR/CSR
Briza marcowiczii,Briza,marcowiczii,Poaceae,Poales,10.81,45.66,43.52,SR
Bromus variegatus,Bromus,variegatus,Poaceae,Poales,19.9,60.4,19.69,S/CSR
Bromus benekenii,Bromus,benekenii,Poaceae,Poales,9.34,59.37,31.29,S/SR
Bromus ciliatus,Bromus,ciliatus,Poaceae,Poales,11.83,48.8,39.37,SR/CSR
Bromus grossus,Bromus,grossus,Poaceae,Poales,12.89,43.46,43.64,SR/CSR
Bromus ramosus,Bromus,ramosus,Poaceae,Poales,36.64,29.96,33.39,CSR
Bulbostylis eleocharoides,Bulbostylis,eleocharoides,Cyperaceae,Poales,13.79,86.21,0,S
Bulbostylis emmerichiae,Bulbostylis,emmerichiae,Cyperaceae,Poales,6.3,93.7,0,S
Bulbostylis lombardii,Bulbostylis,lombardii,Cyperaceae,Poales,1.1,98.9,0,S
Bulbostylis paradoxa,Bulbostylis,paradoxa,Cyperaceae,Poales,1.78,98.22,0,S
Calamagrostis arundinacea,Calamagrostis,arundinacea,Poaceae,Poales,25.04,55.47,19.49,S/CSR
Calamagrostis canescens,Calamagrostis,canescens,Poaceae,Poales,23.54,40.87,35.59,SR/CSR
Calamagrostis purpurea,Calamagrostis,purpurea,Poaceae,Poales,26.34,43.76,29.9,CSR
Calamagrostis varia,Calamagrostis,varia,Poaceae,Poales,25.52,42.3,32.18,CSR
Calamagrostis villosa,Calamagrostis,villosa,Poaceae,Poales,19.38,42.27,38.35,SR/CSR
Carex alba,Carex,alba,Cyperaceae,Poales,5.55,57.89,36.56,SR
Carex appropinquata,Carex,appropinquata,Cyperaceae,Poales,22.32,52.45,25.24,S/CSR
Carex atrata,Carex,atrata,Cyperaceae,Poales,17.26,57.95,24.79,S/CSR
Carex atrofusca,Carex,atrofusca,Cyperaceae,Poales,5.92,58.15,35.93,SR
Carex baldensis,Carex,baldensis,Cyperaceae,Poales,29.7,62.77,7.53,S/CS
Carex bicknellii,Carex,bicknellii,Cyperaceae,Poales,14.79,51.31,33.9,SR/CSR
Carex bigelowii,Carex,bigelowii,Cyperaceae,Poales,13.48,65.48,21.04,S/SR
Carex caespitosa,Carex,caespitosa,Cyperaceae,Poales,30.96,41.79,27.25,CSR
Carex capillaris,Carex,capillaris,Cyperaceae,Poales,0.8,85.35,13.85,S
Carex chordorrhiza,Carex,chordorrhiza,Cyperaceae,Poales,4.88,62.75,32.37,S/SR
Carex canescens,Carex,canescens,Cyperaceae,Poales,14.97,44.81,40.21,SR/CSR
Carex curvula,Carex,curvula,Cyperaceae,Poales,5.97,94.03,0,S
Carex davalliana,Carex,davalliana,Cyperaceae,Poales,7.09,82.84,10.07,S
Carex digitata,Carex,digitata,Cyperaceae,Poales,13.08,40.73,46.19,SR/CSR
Carex dioica,Carex,dioica,Cyperaceae,Poales,0,86.25,13.75,S
Carex echinata,Carex,echinata,Cyperaceae,Poales,5.55,83.14,11.31,S
Carex elata,Carex,elata,Cyperaceae,Poales,13.35,69.68,16.97,S/SR
Carex elongata,Carex,elongata,Cyperaceae,Poales,20.91,32.35,46.74,SR/CSR
Carex ferruginea,Carex,ferruginea,Cyperaceae,Poales,15.55,73.31,11.14,S/CS
Carex firma,Carex,firma,Cyperaceae,Poales,3.65,86.94,9.41,S
Carex flava,Carex,flava,Cyperaceae,Poales,12.47,78.34,9.19,S/CS
Carex frigida,Carex,frigida,Cyperaceae,Poales,23.85,47.56,28.59,S/CSR
Carex fritschii,Carex,fritschii,Cyperaceae,Poales,17.2,62.07,20.72,S/CSR
Carex fuscula,Carex,fuscula,Cyperaceae,Poales,10.52,72.42,17.07,S/SR
Carex geophila,Carex,geophila,Cyperaceae,Poales,7.06,88.05,4.89,S
Carex halleriana,Carex,halleriana,Cyperaceae,Poales,9.37,72.13,18.5,S/SR
Carex hostiana,Carex,hostiana,Cyperaceae,Poales,6,71.4,22.59,S/SR
Carex houghtoniana,Carex,houghtoniana,Cyperaceae,Poales,23.74,47.53,28.72,S/CSR
Carex humilis,Carex,humilis,Cyperaceae,Poales,15.65,55.57,28.78,S/CSR
Carex lachenalii,Carex,lachenalii,Cyperaceae,Poales,4.31,63.02,32.66,S/SR
Carex lasiocarpa,Carex,lasiocarpa,Cyperaceae,Poales,23.26,72.51,4.23,S/CS
Carex colchica,Carex,colchica,Cyperaceae,Poales,10.13,69.8,20.08,S/SR
Carex limosa,Carex,limosa,Cyperaceae,Poales,4.32,57.41,38.27,SR
Carex liparocarpos,Carex,liparocarpos,Cyperaceae,Poales,7.8,62.2,30,S/SR
Carex magellanica,Carex,magellanica,Cyperaceae,Poales,10.08,46.15,43.78,SR
Carex meadii,Carex,meadii,Cyperaceae,Poales,6.06,85.27,8.67,S
Carex montana,Carex,montana,Cyperaceae,Poales,11.62,61.75,26.63,S/SR
Carex mucronata,Carex,mucronata,Cyperaceae,Poales,7.19,92.81,0,S
Carex norvegica,Carex,norvegica,Cyperaceae,Poales,4.33,60.45,35.22,S/SR
Carex oreophila,Carex,oreophila,Cyperaceae,Poales,7.7,64.25,28.05,S/SR
Carex ornithopoda,Carex,ornithopoda,Cyperaceae,Poales,8.31,70.99,20.71,S/SR
Carex leporina,Carex,leporina,Cyperaceae,Poales,14.14,50.62,35.24,SR/CSR
Carex paniculata,Carex,paniculata,Cyperaceae,Poales,36.3,45.19,18.51,CS/CSR
Carex pauciflora,Carex,pauciflora,Cyperaceae,Poales,2.27,64.6,33.13,S/SR
Carex pedunculata,Carex,pedunculata,Cyperaceae,Poales,13.58,46.48,39.94,SR/CSR
Carex pensylvanica,Carex,pensylvanica,Cyperaceae,Poales,15.04,34.93,50.03,SR/CSR
Carex pilosa,Carex,pilosa,Cyperaceae,Poales,38.61,34.7,26.69,CSR
Carex pseudocyperus,Carex,pseudocyperus,Cyperaceae,Poales,34.16,34.22,31.62,CSR
Carex pulicaris,Carex,pulicaris,Cyperaceae,Poales,3.05,96.95,0,S
Carex pyrenaica,Carex,pyrenaica,Cyperaceae,Poales,4.33,64.46,31.21,S/SR
Carex remota,Carex,remota,Cyperaceae,Poales,13.26,11.4,75.34,R/CR
Carex richardsonii,Carex,richardsonii,Cyperaceae,Poales,11.79,54.4,33.81,S/CSR
Carex riparia,Carex,riparia,Cyperaceae,Poales,51.58,43.11,5.31,CS
Carex rupestris,Carex,rupestris,Cyperaceae,Poales,1.81,98.19,0,S
Carex sartwellii,Carex,sartwellii,Cyperaceae,Poales,13.32,57.41,29.27,S/CSR
Carex saxatilis,Carex,saxatilis,Cyperaceae,Poales,14.87,70.5,14.63,S/CS
Carex sempervirens,Carex,sempervirens,Cyperaceae,Poales,14.81,71.74,13.45,S/CS
Carex siccata,Carex,siccata,Cyperaceae,Poales,11.16,58.04,30.8,S/CSR
Carex sparganioides,Carex,sparganioides,Cyperaceae,Poales,26.98,25.9,47.12,R/CSR
Carex tomentosa,Carex,tomentosa,Cyperaceae,Poales,13.77,61.72,24.51,S/CSR
Carex trinervis,Carex,trinervis,Cyperaceae,Poales,25.77,46.59,27.64,S/CSR
Carex umbrosa,Carex,umbrosa,Cyperaceae,Poales,19.56,41.17,39.27,SR/CSR
Carex vaginata,Carex,vaginata,Cyperaceae,Poales,12.56,55.36,32.08,S/CSR
Carex vesicaria,Carex,vesicaria,Cyperaceae,Poales,29.11,66.31,4.59,S/CS
Carex vulpina,Carex,vulpina,Cyperaceae,Poales,28.38,47.6,24.01,S/CSR
Carex xerantica,Carex,xerantica,Cyperaceae,Poales,21.78,62.34,15.89,S/CSR
Colpodium variegatum,Colpodium,variegatum,Poaceae,Poales,13.38,59.01,27.62,S/CSR
Bromus catharticus,Bromus,catharticus,Poaceae,Poales,31.3,45.37,23.33,S/CSR
Chrysopogon gryllus,Chrysopogon,gryllus,Poaceae,Poales,24.25,47.23,28.52,S/CSR
Cyperus flavescens,Cyperus,flavescens,Cyperaceae,Poales,11.54,0,88.46,R
Catapodium rigidum,Catapodium,rigidum,Poaceae,Poales,0.14,60.52,39.35,SR
Panicum ensifolium,Panicum,ensifolium,Poaceae,Poales,8.67,42.07,49.26,SR
Panicum linearifolium,Panicum,linearifolium,Poaceae,Poales,13.66,53.78,32.56,S/CSR
Panicum oligosanthes,Panicum,oligosanthes,Poaceae,Poales,14.42,48.82,36.76,SR/CSR
Bothriochloa ischaemum,Bothriochloa,ischaemum,Poaceae,Poales,9.37,50.34,40.29,SR
Digitaria milanjiana,Digitaria,milanjiana,Poaceae,Poales,34.95,30.2,34.84,CSR
Echinochloa crus-galli,Echinochloa,crus-galli,Poaceae,Poales,47.51,13.91,38.57,CR/CSR
Echinolaena inflexa,Echinolaena,inflexa,Poaceae,Poales,15.94,77.95,6.11,S/CS
Eleocharis mamillata,Eleocharis,mamillata,Cyperaceae,Poales,8.87,0,91.13,R
Eleocharis multicaulis,Eleocharis,multicaulis,Cyperaceae,Poales,15.16,84.84,0,S
Eleocharis ovata,Eleocharis,ovata,Cyperaceae,Poales,9.86,52.38,37.76,SR
Eleocharis quinqueflora,Eleocharis,quinqueflora,Cyperaceae,Poales,4.16,95.84,0,S
Elymus athericus,Elymus,athericus,Poaceae,Poales,32.43,49.99,17.58,S/CSR
Eriophorum angustifolium,Eriophorum,angustifolium,Cyperaceae,Poales,30.35,63.4,6.25,S/CS
Eriophorum latifolium,Eriophorum,latifolium,Cyperaceae,Poales,16.46,59.64,23.9,S/CSR
Eriophorum scheuchzeri,Eriophorum,scheuchzeri,Cyperaceae,Poales,34.01,38.96,27.03,CSR
Eriophorum vaginatum,Eriophorum,vaginatum,Cyperaceae,Poales,16.19,76.13,7.68,S/CS
Festuca altissima,Festuca,altissima,Poaceae,Poales,33.9,30.57,35.53,CSR
Festuca trachyphylla,Festuca,trachyphylla,Poaceae,Poales,6.44,93.56,0,S
Festuca brunnescens,Festuca,brunnescens,Poaceae,Poales,5.98,83.2,10.82,S
Festuca halleri,Festuca,halleri,Poaceae,Poales,2.06,93.17,4.77,S
Festuca pallens,Festuca,pallens,Poaceae,Poales,7.23,92.77,0,S
Festuca paniculata,Festuca,paniculata,Poaceae,Poales,23.57,56.15,20.28,S/CSR
Festuca psammophila,Festuca,psammophila,Poaceae,Poales,5.57,94.43,0,S
Festuca quadriflora,Festuca,quadriflora,Poaceae,Poales,2.03,93.91,4.05,S
Festuca ticinensis,Festuca,ticinensis,Poaceae,Poales,1.99,78.75,19.26,S/SR
Festuca varia,Festuca,varia,Poaceae,Poales,13.44,86.56,0,S
Festuca vivipara,Festuca,vivipara,Poaceae,Poales,1.68,91.43,6.89,S
Fimbristylis puberula,Fimbristylis,puberula,Cyperaceae,Poales,8.85,73.5,17.65,S/SR
Glyceria notata,Glyceria,notata,Poaceae,Poales,22.5,19.31,58.19,R/CSR
Helictotrichon versicolor,Helictotrichon,versicolor,Poaceae,Poales,13.18,86.18,0.64,S
Homolepis longispicula,Homolepis,longispicula,Poaceae,Poales,26.37,73.63,0,S/CS
Hordelymus europaeus,Hordelymus,europaeus,Poaceae,Poales,37.36,13.78,48.86,CR/CSR
Colpodium ponticum,Colpodium,ponticum,Poaceae,Poales,13.13,38.53,48.33,SR/CSR
Juncus alpinoarticulatus,Juncus,alpinoarticulatus,Juncaceae,Poales,6.32,31.03,62.66,R/SR
Juncus atratus,Juncus,atratus,Juncaceae,Poales,33.81,58.66,7.53,CS
Juncus biglumis,Juncus,biglumis,Juncaceae,Poales,0,67.44,32.56,S/SR
Juncus gerardi,Juncus,gerardi,Juncaceae,Poales,9.38,67.98,22.63,S/SR
Juncus jacquinii,Juncus,jacquinii,Juncaceae,Poales,12.39,87.61,0,S
Juncus minutulus,Juncus,minutulus,Juncaceae,Poales,0,55.5,44.5,SR
Juncus ranarius,Juncus,ranarius,Juncaceae,Poales,0,25.94,74.06,R/SR
Juncus sphaerocarpus,Juncus,sphaerocarpus,Juncaceae,Poales,0.14,59.7,40.16,SR
Juncus trifidus,Juncus,trifidus,Juncaceae,Poales,5.78,94.22,0,S
Kobresia myosuroides,Kobresia,myosuroides,Cyperaceae,Poales,5.09,94.91,0,S
Koeleria glauca,Koeleria,glauca,Poaceae,Poales,8.17,78.9,12.93,S/SR
Lagenocarpus alboniger,Lagenocarpus,alboniger,Cyperaceae,Poales,17.56,82.44,0,S/CS
Lagenocarpus rigidus,Lagenocarpus,rigidus,Cyperaceae,Poales,12.15,87.85,0,S
Lagenocarpus velutinus,Lagenocarpus,velutinus,Cyperaceae,Poales,24.43,75.57,0,S/CS
Luzula alpinopilosa,Luzula,alpinopilosa,Juncaceae,Poales,20.95,10.53,68.53,R/CR
Luzula lutea,Luzula,lutea,Juncaceae,Poales,13.29,71.77,14.94,S/SR
Luzula nivea,Luzula,nivea,Juncaceae,Poales,19.26,40.21,40.53,SR/CSR
Luzula pilosa,Luzula,pilosa,Juncaceae,Poales,27.54,18.8,53.66,R/CSR
Luzula spicata,Luzula,spicata,Juncaceae,Poales,1.19,96.49,2.32,S
Luzula sudetica,Luzula,sudetica,Juncaceae,Poales,13.74,29.88,56.38,R/CSR
Luzula sylvatica,Luzula,sylvatica,Juncaceae,Poales,28.64,25.64,45.72,R/CSR
Melica nutans,Melica,nutans,Poaceae,Poales,15.71,31.75,52.54,R/CSR
Melica uniflora,Melica,uniflora,Poaceae,Poales,17.11,31.13,51.77,R/CSR
Mesosetum exaratum,Mesosetum,exaratum,Poaceae,Poales,2.29,97.71,0,S
Mesosetum loliiforme,Mesosetum,loliiforme,Poaceae,Poales,19.96,62.19,17.85,S/CSR
Muhlenbergia minutissima,Muhlenbergia,minutissima,Poaceae,Poales,0.83,43.33,55.84,SR
Muhlenbergia montana,Muhlenbergia,montana,Poaceae,Poales,6.78,93.22,0,S
Muhlenbergia ramulosa,Muhlenbergia,ramulosa,Poaceae,Poales,0,100,0,S
Muhlenbergia rigens,Muhlenbergia,rigens,Poaceae,Poales,11.32,88.68,0,S
Muhlenbergia wrightii,Muhlenbergia,wrightii,Poaceae,Poales,7.27,74.43,18.3,S/SR
Munroa squarrosa,Munroa,squarrosa,Poaceae,Poales,0.31,67.86,31.83,S/SR
Oreochloa disticha,Oreochloa,disticha,Poaceae,Poales,1.63,98.37,0,S
Panicum cyanescens,Panicum,cyanescens,Poaceae,Poales,7.81,81.2,10.99,S
Panicum flexile,Panicum,flexile,Poaceae,Poales,6.74,67.4,25.87,S/SR
Panicum gattingeri,Panicum,gattingeri,Poaceae,Poales,2.89,50.36,46.75,SR
Panicum acuminatum,Panicum,acuminatum,Poaceae,Poales,3.11,66.92,29.96,S/SR
Panicum virgatum,Panicum,virgatum,Poaceae,Poales,17.04,57.06,25.9,S/CSR
Paspalum erianthum,Paspalum,erianthum,Poaceae,Poales,24.87,75.13,0,S/CS
Paspalum pectinatum,Paspalum,pectinatum,Poaceae,Poales,20.13,79.87,0,S/CS
Cenchrus ciliaris,Cenchrus,ciliaris,Poaceae,Poales,16.47,67.37,16.16,S/CS
Pennisetum mezianum,Pennisetum,mezianum,Poaceae,Poales,13.78,19.21,67,R/SR
Phleum rhaeticum,Phleum,rhaeticum,Poaceae,Poales,20.57,57.23,22.2,S/CSR
Poa alpina,Poa,alpina,Poaceae,Poales,15.18,78.15,6.67,S/CS
Poa chaixii,Poa,chaixii,Poaceae,Poales,14.56,61.14,24.3,S/CSR
Poa fendleriana,Poa,fendleriana,Poaceae,Poales,7.82,92.18,0,S
Poa laxa,Poa,laxa,Poaceae,Poales,11.7,57.67,30.63,S/CSR
Poa variegata,Poa,variegata,Poaceae,Poales,11.32,70.85,17.83,S/SR
Rhynchospora alba,Rhynchospora,alba,Cyperaceae,Poales,9,49,42,SR
Rhynchospora ciliolata,Rhynchospora,ciliolata,Cyperaceae,Poales,5.43,94.57,0,S
Rhynchospora fusca,Rhynchospora,fusca,Cyperaceae,Poales,12.04,72.1,15.85,S/SR
Rhynchospora riedeliana,Rhynchospora,riedeliana,Cyperaceae,Poales,15.92,84.08,0,S
Rhynchospora terminalis,Rhynchospora,terminalis,Cyperaceae,Poales,5.4,94.6,0,S
Schizachyrium tenerum,Schizachyrium,tenerum,Poaceae,Poales,4.77,95.23,0,S
Schoenoplectiella mucronata,Schoenoplectiella,mucronata,Cyperaceae,Poales,30.18,64.04,5.78,S/CS
Schoenus nigricans,Schoenus,nigricans,Cyperaceae,Poales,16.5,71.88,11.62,S/CS
Scirpus atrocinctus,Scirpus,atrocinctus,Cyperaceae,Poales,38.36,57.37,4.28,CS
Trichophorum cespitosum,Trichophorum,cespitosum,Cyperaceae,Poales,10.54,66.36,23.11,S/SR
Trichophorum alpinum,Trichophorum,alpinum,Cyperaceae,Poales,8.26,91.74,0,S
Bolboschoenus maritimus,Bolboschoenus,maritimus,Cyperaceae,Poales,38.42,48.02,13.55,CS/CSR
Scirpus microcarpus,Scirpus,microcarpus,Cyperaceae,Poales,52.84,39.85,7.32,CS
Isolepis setacea,Isolepis,setacea,Cyperaceae,Poales,6.15,5.6,88.25,R
Scirpus sylvaticus,Scirpus,sylvaticus,Cyperaceae,Poales,52.75,27.07,20.18,C/CSR
Scleria oligantha,Scleria,oligantha,Cyperaceae,Poales,12.26,73.53,14.21,S/SR
Sesleria albicans,Sesleria,albicans,Poaceae,Poales,23.02,48.41,28.57,S/CSR
Sesleria caerulea,Sesleria,caerulea,Poaceae,Poales,22.49,66.86,10.65,S/CS
Pennisetum glaucum,Pennisetum,glaucum,Poaceae,Poales,23.86,40.39,35.75,SR/CSR
Sorghum purpureosericeum,Sorghum,purpureosericeum,Poaceae,Poales,26.84,42.23,30.93,CSR
Sporobolus clandestinus,Sporobolus,clandestinus,Poaceae,Poales,8.35,82.27,9.39,S
Sporobolus heterolepis,Sporobolus,heterolepis,Poaceae,Poales,14.34,66.26,19.4,S/SR
Sporobolus interruptus,Sporobolus,interruptus,Poaceae,Poales,8.4,87.06,4.53,S
Stipa capillata,Stipa,capillata,Poaceae,Poales,11.06,88.94,0,S
Stipa pulcherrima,Stipa,pulcherrima,Poaceae,Poales,13.32,86.68,0,S
Tatianyx arnacites,Tatianyx,arnacites,Poaceae,Poales,9.18,90.82,0,S
Trichophorum caespitosum,Trichophorum,caespitosum,Cyperaceae,Poales,1.19,98.81,0,S
Urochloa decumbens,Urochloa,decumbens,Poaceae,Poales,35.05,43.59,21.36,CS/CSR
Vulpia membranacea,Vulpia,membranacea,Poaceae,Poales,1.02,57.59,41.4,SR
Aegilops geniculata,Aegilops,geniculata,Poaceae,Poales,1.31,49.97,48.72,SR
Agropyron desertorum,Agropyron,desertorum,Poaceae,Poales,12.12,87.88,0,S
Agrostis canina,Agrostis,canina,Poaceae,Poales,4.46,41.75,53.79,SR
Agrostis capillaris,Agrostis,capillaris,Poaceae,Poales,5.9,52.83,41.27,SR
Agrostis gigantea,Agrostis,gigantea,Poaceae,Poales,12.74,35.3,51.95,SR/CSR
Agrostis hyemalis,Agrostis,hyemalis,Poaceae,Poales,4.94,79.25,15.81,S/SR
Agrostis stolonifera,Agrostis,stolonifera,Poaceae,Poales,11.4,46.71,41.89,SR/CSR
Aira praecox,Aira,praecox,Poaceae,Poales,0,56.61,43.39,SR
Alopecurus aequalis,Alopecurus,aequalis,Poaceae,Poales,22.68,7.54,69.78,R/CR
Alopecurus geniculatus,Alopecurus,geniculatus,Poaceae,Poales,13.09,27.34,59.57,R/CSR
Alopecurus pratensis,Alopecurus,pratensis,Poaceae,Poales,11.88,58.78,29.34,S/CSR
Andropogon distachyos,Andropogon,distachyos,Poaceae,Poales,24.59,61.94,13.47,S/CSR
Andropogon virginicus,Andropogon,virginicus,Poaceae,Poales,15.84,77.51,6.66,S/CS
Anthoxanthum aristatum,Anthoxanthum,aristatum,Poaceae,Poales,14.74,31.72,53.54,R/CSR
Anthoxanthum odoratum,Anthoxanthum,odoratum,Poaceae,Poales,8.36,67.45,24.19,S/SR
Apera interrupta,Apera,interrupta,Poaceae,Poales,0.4,47.36,52.24,SR
Aristida dichotoma,Aristida,dichotoma,Poaceae,Poales,4.04,78.04,17.92,S/SR
Aristida oligantha,Aristida,oligantha,Poaceae,Poales,5.03,60.3,34.68,S/SR
Aristida purpurascens,Aristida,purpurascens,Poaceae,Poales,8.64,59.33,32.03,S/SR
Aristida purpurea,Aristida,purpurea,Poaceae,Poales,0,100,0,S
Arrhenatherum elatius,Arrhenatherum,elatius,Poaceae,Poales,23.76,35.52,40.72,SR/CSR
Avena barbata,Avena,barbata,Poaceae,Poales,6.57,42.37,51.06,SR
Avena fatua,Avena,fatua,Poaceae,Poales,40.17,19.56,40.27,CR/CSR
Avena sativa,Avena,sativa,Poaceae,Poales,57.2,11.44,31.35,C/CSR
Avena sterilis,Avena,sterilis,Poaceae,Poales,41.99,15.84,42.17,CR/CSR
Avena strigosa,Avena,strigosa,Poaceae,Poales,36.69,18.99,44.32,CR/CSR
Bouteloua curtipendula,Bouteloua,curtipendula,Poaceae,Poales,15.21,66.01,18.78,S/SR
